Date Time,MW,Mvar,EXC CURRENT,TEMP CG D/STR CLR,TEMP STR SLOT TE,TEMP STR SLOT TE,PRES AMBIENT AIR,MEDIAN GEN CURRENT,F STR WTR D/STR BSHG U1,GEN VOLTAGE L1-L2
9/23/2021 12:58:00 AM,571.0416,100.3123,3428.096,44,68.80002,68.80002,1003.906,15.91667,3.254879,20.94455
9/23/2021 12:59:00 AM,566.875,95.68665,3399.161,44,68.80002,68.80002,1003.906,15.6684,3.254879,20.94455
9/23/2021 1:00:00 AM,560.3125,104.2576,3399.161,43.90001,68.80002,68.80002,1003.906,15.54427,3.254879,20.94455
9/23/2021 1:01:00 AM,571.8229,105.1646,3446.18,43.90001,68.80002,68.80002,1003.906,15.91753,3.254879,21.00694
9/23/2021 1:02:00 AM,579.3229,109.3367,3501.519,43.90001,68.80002,68.80002,1003.906,16.06337,3.254879,21.00694
9/23/2021 1:03:00 AM,589.3229,106.5704,3519.604,43.90001,68.80002,68.80002,1003.906,16.36285,3.254879,21.00694
9/23/2021 1:04:00 AM,585.5208,104.1669,3484.881,44,68.80002,68.80002,1003.906,16.28646,3.254879,21.00694
9/23/2021 1:05:00 AM,587.6041,107.6588,3512.37,44,68.80002,68.80002,1003.841,16.30382,3.239447,21.00694
9/23/2021 1:06:00 AM,589.2708,112.4658,3545.645,44,68.80002,68.80002,1003.841,16.37674,3.259942,21.00694
9/23/2021 1:07:00 AM,586.1458,103.3506,3491.03,44,68.80002,68.80002,1003.841,16.25608,3.254517,21.03769
9/23/2021 1:08:00 AM,581.875,93.28314,3460.286,44,68.80002,68.80002,1003.841,16.1849,3.254517,20.96264
9/23/2021 1:09:00 AM,562.6041,89.29242,3398.076,44,68.80002,68.80002,1003.841,15.56163,3.254517,20.96264
9/23/2021 1:10:00 AM,559.8958,96.72968,3394.459,44,68.80002,68.80002,1003.841,15.56163,3.256928,20.96264
9/23/2021 1:11:00 AM,574.8958,108.1577,3472.946,44,68.80002,68.80002,1003.95,15.95313,3.256928,20.96264
9/23/2021 1:12:00 AM,577.8646,106.9786,3485.243,44,68.89999,68.89999,1003.95,16.08247,3.247886,21.03769
9/23/2021 1:13:00 AM,581.7188,105.4821,3481.626,44,68.89999,68.89999,1003.95,16.20226,3.247886,21.03769
9/23/2021 1:14:00 AM,589.1666,105.4821,3503.689,44,68.89999,68.89999,1003.95,16.34201,3.248851,21.03769
9/23/2021 1:15:00 AM,584.4271,98.99713,3487.052,44.10001,68.89999,68.89999,1003.95,16.24132,3.251744,21.00061
9/23/2021 1:16:00 AM,563.0729,95.18781,3395.544,44.10001,68.89999,68.89999,1003.95,15.67274,3.26597,21.00061
9/23/2021 1:17:00 AM,568.5416,108.4751,3425.202,44.10001,68.89999,68.89999,1003.95,15.78125,3.247525,21.00061
9/23/2021 1:18:00 AM,581.8229,113.0554,3507.668,44.10001,68.89999,68.89999,1003.95,16.10243,3.247525,21.00061
9/23/2021 1:19:00 AM,581.1979,108.3844,3479.818,44.10001,68.89999,68.89999,1003.95,16.13802,3.266694,21.00061
