 ,10MKD12CY021XQ01,10MKD12CY022XQ01,10MKD11CY021XQ01,10MKD11CY022XQ01,10MKC01DE502XQ01,10MKC01EU001ZQ01,10MKD12CY901XQ01,10MKD11CY901XQ01,10MBY10CE901XQ01
,VIB GEN BRG CSG EE,VIB GEN BRG CSG EE,VIB GEN BRG CSG TE,VIB GEN BRG CSG TE,REACTIVE POWER,EXC CURRENT,REL S-VIB GEN BRG EE,REL S-VIB GEN BRG TE,ACTIVE POWER
Date Time,mm/s,mm/s,mm/s,mm/s,Mvar,A,µm pk-pk,µm pk-pk,MW
9/5/2021 1:40:00 AM,1.647859,1.66956,0.796441,0.8355035,-16.73383,3274.016,37.10938,25.51722,622.3438
9/5/2021 1:41:00 AM,1.639902,1.694878,0.7957175,0.8123553,-24.39783,3266.782,37.10938,25.01085,622.2916
9/5/2021 1:42:00 AM,1.635561,1.702112,0.8029513,0.8405671,-34.46533,3245.081,36.83811,25.01085,623.2291
9/5/2021 1:43:00 AM,1.635561,1.665943,0.8029513,0.8405671,-35.23627,3239.656,36.83811,25.01085,624.3229
9/5/2021 1:44:00 AM,1.635561,1.665943,0.7942708,0.8405671,-27.84436,3259.549,36.83811,24.79384,623.2291
9/5/2021 1:45:00 AM,1.635561,1.67173,0.7921007,0.8405671,-29.88507,3259.549,36.83811,25.86082,622.2396
9/5/2021 1:46:00 AM,1.635561,1.66088,0.8043981,0.8405671,-29.88507,3248.698,36.83811,24.63108,623.2813
9/5/2021 1:47:00 AM,1.635561,1.660156,0.7957175,0.8752893,-32.56067,3248.698,36.83811,25.67998,623.9583
9/5/2021 1:48:00 AM,1.653646,1.680411,0.8304398,0.8398438,-37.27698,3226.635,36.83811,25.67998,623.2813
9/5/2021 1:49:00 AM,1.639902,1.660156,0.8051215,0.8470775,-29.25018,3244.719,36.83811,25.33637,623.2813
9/5/2021 1:50:00 AM,1.625434,1.660156,0.8051215,0.8470775,-36.59674,3239.294,36.83811,25.33637,623.2813
9/5/2021 1:51:00 AM,1.653646,1.658709,0.8246527,0.8470775,-39.95258,3213.976,35.57219,25.33637,617.3958
9/5/2021 1:52:00 AM,1.632668,1.660156,0.8304398,0.8543113,-33.24091,3241.464,35.59028,25.33637,624.3229
9/5/2021 1:53:00 AM,1.632668,1.660156,0.8195891,0.8398438,-25.16876,3263.166,35.95197,25.33637,620.7813
9/5/2021 1:54:00 AM,1.632668,1.660156,0.8101851,0.8615451,-49.65729,3184.679,38.06785,24.59491,623.2291
9/5/2021 1:55:00 AM,1.632668,1.660156,0.8087384,0.8615451,-56.55035,3155.744,38.08594,26.67462,612.0833
9/5/2021 1:56:00 AM,1.653646,1.646412,0.8101851,0.8550347,-39.27234,3176.722,35.95197,25.51722,612.0833
9/5/2021 1:57:00 AM,1.634838,1.66739,0.8109086,0.8550347,-43.7619,3176.722,36.38599,25.51722,615.1041
9/5/2021 1:58:00 AM,1.634838,1.680411,0.8109086,0.844184,-29.02344,3227.358,36.38599,24.16088,617.8646
9/5/2021 1:59:00 AM,1.639902,1.628327,0.8087384,0.8622685,-33.64905,3245.443,36.82002,24.9566,620.625
9/5/2021 2:00:00 AM,1.610966,1.660156,0.8159722,0.8969907,-38.5014,3229.167,36.82002,24.9566,621.6666
9/5/2021 2:01:00 AM,1.632668,1.674624,0.823206,0.8543113,-46.66425,3214.337,36.82002,24.9566,622.8125
9/5/2021 2:02:00 AM,1.610966,1.660156,0.8521412,0.8550347,-43.44446,3214.337,36.82002,23.74494,624.3229
9/5/2021 2:03:00 AM,1.639902,1.673177,0.7892072,0.8752893,-45.93866,3223.38,36.82002,25.28212,622.7083
9/5/2021 2:04:00 AM,1.639178,1.66739,0.823206,0.8680555,-36.77814,3223.38,36.82002,25.28212,623.8021
9/5/2021 2:05:00 AM,1.639902,1.662326,0.7747396,0.8550347,-28.88739,3253.4,36.82002,25.28212,623.2291
9/5/2021 2:06:00 AM,1.646412,1.658709,0.8087384,0.8680555,-55.64337,3202.04,36.82002,25.28212,623.8021
9/5/2021 2:07:00 AM,1.633391,1.674624,0.8304398,0.8680555,-67.38879,3183.955,35.59028,25.28212,623.2813
9/5/2021 2:08:00 AM,1.649305,1.674624,0.8376736,0.8760127,-19.54547,3212.529,36.63918,25.28212,614.2188
9/5/2021 2:09:00 AM,1.655093,1.674624,0.8174189,0.8586516,0,3296.079,36.63918,25.28212,618.4375
9/5/2021 2:10:00 AM,1.646412,1.684028,0.8174189,0.8586516,4.308167,3327.546,36.83811,25.28212,622.2396
9/5/2021 2:11:00 AM,1.654369,1.675347,0.8174189,0.8615451,10.3396,3344.907,36.83811,25.28212,622.2396
9/5/2021 2:12:00 AM,1.647135,1.673177,0.8174189,0.8405671,12.15356,3360.098,36.83811,25.28212,622.7604
9/5/2021 2:13:00 AM,1.618924,1.674624,0.8478009,0.8687789,-16.77917,3292.462,36.83811,25.28212,623.3333
9/5/2021 2:14:00 AM,1.642795,1.674624,0.8449074,0.8687789,-22.03967,3253.4,36.45833,25.28212,619.5833
9/5/2021 2:15:00 AM,1.668113,1.689091,0.8297164,0.8680555,-15.4187,3264.974,36.45833,25.28212,618.0729
9/5/2021 2:16:00 AM,1.647135,1.673177,0.823206,0.8666087,-13.46869,3293.909,36.45833,25.28212,623.9583
9/5/2021 2:17:00 AM,1.647135,1.673177,0.8586516,0.8666087,-22.13037,3264.974,37.70616,24.45023,622.8646
9/5/2021 2:18:00 AM,1.647135,1.674624,0.8369502,0.8760127,-33.55835,3243.634,36.82002,24.97468,620.1041
9/5/2021 2:19:00 AM,1.647135,1.674624,0.8369502,0.8760127,-34.32928,3221.209,36.82002,24.97468,620.0521
9/5/2021 2:20:00 AM,1.647135,1.689091,0.8174189,0.8760127,-21.99432,3260.995,36.82002,24.97468,620.1041
9/5/2021 2:21:00 AM,1.654369,1.687645,0.8246527,0.8760127,-17.55011,3291.739,36.82002,24.97468,623.2291
9/5/2021 2:22:00 AM,1.654369,1.674624,0.8304398,0.8268229,-19.95361,3277.271,36.82002,24.97468,622.7083
9/5/2021 2:23:00 AM,1.639902,1.681858,0.8391203,0.8478009,-26.98273,3260.634,36.82002,24.97468,623.2813
9/5/2021 2:24:00 AM,1.653646,1.681858,0.8376736,0.8731192,-20.6792,3260.634,36.82002,26.3491,622.2916
9/5/2021 2:25:00 AM,1.668113,1.681858,0.8246527,0.8687789,-10.20355,3304.76,36.82002,24.26939,623.3854
9/5/2021 2:26:00 AM,1.654369,1.681858,0.8217592,0.8897569,-19.77222,3276.186,36.82002,24.7215,623.2291
9/5/2021 2:27:00 AM,1.603733,1.681858,0.7819734,0.8687789,-7.573303,3299.696,36.82002,24.50448,621.875
9/5/2021 2:28:00 AM,1.639178,1.681858,0.8246527,0.8550347,-7.800049,3315.249,36.82002,24.79384,622.6563
9/5/2021 2:29:00 AM,1.653646,1.681858,0.8738425,0.8883101,-14.82916,3305.845,36.82002,24.79384,623.8541
9/5/2021 2:30:00 AM,1.653646,1.701389,0.8246527,0.8687789,-16.05359,3293.547,37.72425,24.79384,623.2813
9/5/2021 2:31:00 AM,1.66739,1.673177,0.8246527,0.8543113,-21.17804,3270.399,36.09664,25.33637,622.3438
9/5/2021 2:32:00 AM,1.653646,1.689091,0.8304398,0.8608217,-15.87219,3284.505,37.52532,25.33637,621.0938
9/5/2021 2:33:00 AM,1.653646,1.665943,0.8405671,0.8933738,-24.57922,3266.782,37.52532,24.28747,624.4271
9/5/2021 2:34:00 AM,1.653646,1.681858,0.8318865,0.8543113,-16.50708,3275.101,35.22859,25.69806,623.9063
9/5/2021 2:35:00 AM,1.653646,1.681858,0.8391203,0.8752893,-17.32336,3284.144,36.31366,24.79384,624.375
