 ,10MKC01DE502XQ01,10MBY10CE901XQ01,10MKG18FP001ZQ01,10MKW31CP901XQ01,10MKW31CP902XQ01,10MKW31CP903XQ01,10MKG31CQ001AZQ01,10MKG32CQ001AZQ01
,REACTIVE POWER,ACTIVE POWER,PRES H2 GEN CASING,DIFFPRES SEAL OIL/H2,DIFFPRES SEAL OIL/H2,DIFFPRES SEAL OIL/H2,PURITY H2 ANALYZER 1,PURITY H2 ANALYZER 2
Date Time,Mvar,MW,bar,bar,bar,bar,% H2,% H2
9/5/2021 12:59:00 AM,8.480286,625.4166,4.043461,1.142185,1.154121,1.157014,96.37153,96.24059
9/5/2021 1:00:00 AM,19.86292,624.3229,4.043461,1.152674,1.153759,1.157376,96.37153,96.24059
9/5/2021 1:01:00 AM,18.91058,623.9063,4.043461,1.161355,1.16244,1.158461,96.37153,96.24059
9/5/2021 1:02:00 AM,8.888428,623.8021,4.043461,1.155929,1.151951,1.156291,96.37153,96.24059
9/5/2021 1:03:00 AM,12.6524,624.8958,4.043461,1.147611,1.151951,1.156291,96.36791,96.24059
9/5/2021 1:04:00 AM,14.55707,624.9479,4.043461,1.154121,1.157376,1.163886,96.36791,96.24059
9/5/2021 1:05:00 AM,18.23035,624.3229,4.043461,1.147611,1.153759,1.154482,96.36791,96.24059
9/5/2021 1:06:00 AM,21.76758,624.3229,4.043461,1.15593,1.149419,1.162078,96.36791,96.24059
9/5/2021 1:07:00 AM,18.91058,623.8021,4.043461,1.151589,1.149419,1.150143,96.36791,96.24059
9/5/2021 1:08:00 AM,9.79541,623.3854,4.043461,1.151951,1.155206,1.155206,96.36791,96.24059
9/5/2021 1:09:00 AM,-2.720947,624.4271,4.043461,1.154482,1.150504,1.155206,96.36791,96.24059
9/5/2021 1:10:00 AM,-11.56403,621.0938,4.043461,1.154482,1.153759,1.154844,96.36791,96.24059
9/5/2021 1:11:00 AM,-13.33264,616.4063,4.043461,1.154482,1.153759,1.154844,96.36791,96.24059
9/5/2021 1:12:00 AM,-1.04303,621.1979,4.043461,1.150866,1.150142,1.153036,96.36791,96.24059
9/5/2021 1:13:00 AM,-2.5849,621.6146,4.043461,1.147249,1.150142,1.153036,96.36791,96.24059
9/5/2021 1:14:00 AM,-13.74078,624.8438,4.043461,1.154121,1.155568,1.158461,96.36791,96.24059
9/5/2021 1:15:00 AM,-13.33264,620.1041,4.043461,1.154121,1.150866,1.161355,96.36791,96.24059
9/5/2021 1:16:00 AM,0.1360474,623.8021,4.043461,1.149419,1.150866,1.153759,96.36791,96.24059
9/5/2021 1:17:00 AM,-16.46173,623.8541,4.043461,1.15593,1.158823,1.162801,96.36791,96.24059
9/5/2021 1:18:00 AM,-13.65009,621.0938,4.042256,1.150143,1.151951,1.155929,96.36791,96.2377
9/5/2021 1:19:00 AM,-4.262817,623.8541,4.042256,1.150143,1.151951,1.153398,96.36791,96.2377
9/5/2021 1:20:00 AM,-18.86523,623.2291,4.042256,1.154844,1.160269,1.1581,96.36791,96.2377
9/5/2021 1:21:00 AM,-9.79541,622.8646,4.042256,1.147249,1.151227,1.156291,96.36791,96.2377
9/5/2021 1:22:00 AM,-13.33264,622.7083,4.042256,1.153036,1.155568,1.156291,96.36791,96.2377
9/5/2021 1:23:00 AM,-32.65137,620.1041,4.042256,1.157376,1.159908,1.160269,96.36791,96.2377
9/5/2021 1:24:00 AM,-23.40015,613.6458,4.042256,1.150866,1.150504,1.153036,96.36791,96.2377
9/5/2021 1:25:00 AM,-11.60938,616.875,4.042256,1.150866,1.157376,1.147972,96.36791,96.2377
9/5/2021 1:26:00 AM,-9.432617,620.5729,4.042256,1.155568,1.15593,1.164971,96.36791,96.2377
9/5/2021 1:27:00 AM,-21.45013,619.5313,4.04081,1.16244,1.165695,1.175822,96.36791,96.2377
9/5/2021 1:28:00 AM,-34.82813,615.7813,4.04081,1.154844,1.159908,1.163163,96.36791,96.2377
9/5/2021 1:29:00 AM,-19.09198,607.1354,4.04081,1.155206,1.148334,1.157014,96.36791,96.2377
9/5/2021 1:30:00 AM,-7.255859,614.2708,4.04081,1.155206,1.157738,1.164609,96.36791,96.2377
9/5/2021 1:31:00 AM,-7.119812,617.3958,4.04081,1.16027,1.157738,1.160993,96.36791,96.2377
9/5/2021 1:32:00 AM,-11.74542,622.2396,4.04081,1.159546,1.157738,1.160993,96.36791,96.2377
9/5/2021 1:33:00 AM,-9.024475,620.0521,4.04081,1.159546,1.166056,1.165695,96.36791,96.2377
9/5/2021 1:34:00 AM,-32.10718,619.6354,4.04081,1.162801,1.163887,1.171482,96.36791,96.2377
9/5/2021 1:35:00 AM,-34.05719,614.6354,4.039001,1.162801,1.163887,1.163525,96.36791,96.2377
9/5/2021 1:36:00 AM,-30.11182,618.4375,4.039001,1.158099,1.152312,1.16895,96.36791,96.2377
9/5/2021 1:37:00 AM,-11.70007,619.6875,4.039001,1.162801,1.16027,1.161716,96.36791,96.2377
9/5/2021 1:38:00 AM,-21.31409,622.2396,4.039001,1.170758,1.167865,1.169673,96.36791,96.2377
9/5/2021 1:39:00 AM,-24.08038,617.3958,4.039001,1.161716,1.164248,1.168226,96.36791,96.2377
9/5/2021 1:40:00 AM,-16.73383,622.3438,4.039001,1.161716,1.161355,1.160269,96.36791,96.2377
9/5/2021 1:41:00 AM,-24.39783,622.2916,4.039001,1.167865,1.164609,1.169673,96.36791,96.2377
9/5/2021 1:42:00 AM,-34.46533,623.2291,4.039001,1.170035,1.170396,1.172928,96.36791,96.2377
9/5/2021 1:43:00 AM,-35.23627,624.3229,4.039001,1.170035,1.16895,1.172928,96.36791,96.2377
9/5/2021 1:44:00 AM,-27.84436,623.2291,4.039001,1.1581,1.162439,1.168588,96.36791,96.2377
9/5/2021 1:45:00 AM,-29.88507,622.2396,4.039001,1.165695,1.166418,1.170758,96.36791,96.2377
9/5/2021 1:46:00 AM,-29.88507,623.2813,4.039001,1.168227,1.170758,1.172567,96.36791,96.2377
9/5/2021 1:47:00 AM,-32.56067,623.9583,4.039001,1.168227,1.170035,1.171482,96.36791,96.2377
